Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery_Cell,
"C1, C2, C4",0805,3,10u,
DS1,TP4056-18650,1,TP4056 module,
DS2,LCD_LCD-20X4B_i2c,1,LCD-20X4B,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J2,st7735s module,1,ST7735S module,
J4,Jack_3.5mm_CUI_SJ1-3525N_Horizontal,1,AudioJack2_Dual_Ground_Switch,
J5,PinHeader_1x15_P2.54mm_Vertical,1,Conn_01x15,
"R1, R2",0805,2,1K,
SW1,SW_Push_2P2T_Toggle_CK_PVA2xxH1xxxxxxV2,1,SW_Push_DPDT,
SW2,SW_Slide_1P2T_CK_OS102011MS2Q,1,SW_SPDT,
"SW3, SW4, SW5, SW6",SW_PUSH_6mm_H13mm,4,SW_MEC_5G,
U1,MT3608 module,1,MT3608 module,
U2,YAAJ_BluePill_1,1,YAAJ_BluePill_Part_Like,
U3,MODULE_DFR0299,1,DFR0299,
U4,NRF24L01-Module-SMD,1,NRF24L01_smd,
U6,nRF24L01_PA_LNA_Breakout_smd,1,RF_Module:nRF24L01_PA_LNA_ceramic,
U7,nRF24L01_PA_LNA_Breakout,1,NRF24L01_Breakout,
